Full Index,ON Full,ON Variations,Similarity
45615,"The specified live load due to possible concentrations of load resulting from the use of an area of floor or roof shall not be less than that listed in Table 4.1.5.9. applied over the loaded area noted in Table 4.1.5.9. and located so as to cause maximum effects, except that for occupancies not listed in Table 4.1.5.9., the concentrations of load shall be determined in accordance with Article 4.1.5.2.","The specified live load due to possible concentrations of load resulting from the use of an area of floor or roof shall not be less than that listed in Table 4.1.5.9. applied over the loaded area noted in Table 4.1.5.9. and located so as to cause maximum effects, except that for occupancies not listed in Table 4.1.5.9., the concentrations of load shall be determined in accordance with Article 4.1.5.2.",1.0
52100,Containers of flammable liquids or combustible liquids shall be kept closed when not in use.,Containers of flammable liquids or combustible liquids shall be kept closed when not in use.,1.0
50503,"This Section applies to the fumigation or thermal fogging of buildings where this activity creates a fire or explosion hazard, including the fumigation of equipment or commodities within structures, tanks or bins or under tarpaulins.","This Section applies to the fumigation or thermal fogging of buildings where this activity creates a fire or explosion hazard, including the fumigation of equipment or commodities within structures, tanks or bins or under tarpaulins.",1.0
50504,"A receptacle conforming to Sentence 2.4.1.3.(3) shall be provided for all waste rags and materials used in operations involving flammable liquids or combustible liquids, and the contents shall be removed daily and disposed of in a manner that will not create a fire hazard.","A receptacle conforming to Sentence 2.4.1.3.(3) shall be provided for all waste rags and materials used in operations involving flammable liquids or combustible liquids, and the contents shall be removed daily and disposed of in a manner that will not create a fire hazard.",1.0
44933,An exit stair serving a building more than 6 storeys in building height shall be clearly marked by signs indicating that it does not lead to an exit at the roof level. (See Appendix A.),An exit stair serving a building more than 6 storeys in building height shall be clearly marked by signs indicating that it does not lead to an exit at the roof level. (See Appendix A.),1.0
47552,"Subject to the requirements of this Section, an exit from any floor area shall be one of the following, used singly or in combination: an exterior doorway, an exterior passageway, an exterior ramp, an exterior stairway, a fire escape (conforming to Subsection 3.4.7.), a horizontal exit, an interior passageway, an interior ramp, or an interior stairway.","Subject to the requirements of this Section, an exit from any floor area shall be one of the following, used singly or in combination: an exterior doorway, an exterior passageway, an exterior ramp, an exterior stairway, a fire escape (conforming to Subsection 3.4.7.), a horizontal exit, an interior passageway, an interior ramp, or an interior stairway.",1.0
44802,"Glass in guards shall be,(a) safety glass of the laminated or tempered type conforming to CAN/CGSB-12.1-M, ""Tempered or Laminated Safety Glass"", or (b) wired glass conforming to CAN/CGSB-12.11-M, ""Wired Safety Glass"".","Glass in guards shall be,(a) safety glass of the laminated or tempered type conforming to CAN/CGSB-12.1-M, ""Tempered or Laminated Safety Glass"", or (b) wired glass conforming to CAN/CGSB-12.11-M, ""Wired Safety Glass"".",1.0
45603,"Except as permitted by Articles 3.2.2.30. to 3.2.2.34., a building classified as Group A, Division 3 shall conform to Sentences (2) and (3).","Except as permitted by Articles 3.2.2.30. to 3.2.2.34., a building classified as Group A, Division 3 shall conform to Sentences (2) and (3).",1.0
48189,"Where electrically operated gates or turnstiles used for fare collection are intended to be used as part of a required means of egress from a rapid transit station, provision shall be made to release the gates or turnstiles in accordance with Sentence (4) to allow them to operate freely in the direction of egress travel.","Where electrically operated gates or turnstiles used for fare collection are intended to be used as part of a required means of egress from a rapid transit station, provision shall be made to release the gates or turnstiles in accordance with Sentence (4) to allow them to operate freely in the direction of egress travel.",1.0
48190,Every sanitary building drain shall be provided with at least one vent that is not less than 3 in. in size.,Every sanitary building drain shall be provided with at least one vent that is not less than 3 in. in size.,1.0
44468,"Where it is not possible to comply with Sentence (1), a lesser slope may be used if it will produce a gravity flow of not less than 0.6 m per second.","Where it is not possible to comply with Sentence (1), a lesser slope may be used if it will produce a gravity flow of not less than 0.6 m per second.",1.0
