Full Index,National Full,National in AB,Similarity
13307,"Except as permitted in Table 3.2.7.6., solid and liquid dangerous goods classified as oxidizers or organic peroxides shall be separated from the remainder of the building in conformance with Sentence 3.3.6.2.(1) of Division B of the NBC.","Except as permitted in Table 3.2.7.6., solid and liquid dangerous goods classified as oxidizers or organic peroxides shall be separated from the remainder of the building in conformance with Sentence 3.3.6.2.(1) of Division B of the NBC.",1.0
13178,Means of egress shall be provided in buildings in conformance with the NBC.,Means of egress shall be provided in buildings in conformance with the NBC.,1.0
10111,"The clearance between combustible materials and temporary heating equipment, including flues, shall be in conformance with Part 6 of Division B of the NBC or in conformance with the minimum clearances shown on certified heating equipment.","The clearance between combustible materials and temporary heating equipment, including flues, shall be in conformance with Part 6 of Division B of the NBC or in conformance with the minimum clearances shown on certified heating equipment.",1.0
6786,"The foundation depths required in Sentence 9.12.2.2.(1) are permitted to be decreased where experience with local soil conditions shows that lesser depths are satisfactory, or where the foundation is designed for lesser depths.","The foundation depths required in Sentence 9.12.2.2.(1) are permitted to be decreased where experience with local soil conditions shows that lesser depths are satisfactory, or where the foundation is designed for lesser depths.",1.0
11028,Piping and steam lines shall be enclosed in insulation conforming to the NBC.,Piping and steam lines shall be enclosed in insulation conforming to the NBC.,1.0
749,Interior finish need not be applied to garage and carport walls.,Interior finish need not be applied to garage and carport walls.,1.0
2490,"Each construction camp building shall be provided with portable fire extinguishers in conformance with the appropriate provincial or territorial regulations or municipal bylaws or, in the absence of such regulations or bylaws, in conformance with the NFC.","Each construction camp building shall be provided with portable fire extinguishers in conformance with the appropriate provincial or territorial regulations or municipal bylaws or, in the absence of such regulations or bylaws, in conformance with the NFC.",1.0
5764,"If the stability of adjoining buildings may be endangered by the work of excavating, adequate underpinning, shoring and bracing shall be provided to prevent damage to, or movement of, any part of the adjoining building, and the creation of a hazard to the public.","If the stability of adjoining buildings may be endangered by the work of excavating, adequate underpinning, shoring and bracing shall be provided to prevent damage to, or movement of, any part of the adjoining building, and the creation of a hazard to the public.",1.0
1725,"Except within a suite of care occupancy or a suite of residential occupancy, where showers are provided in a building, at least one shower stall in each group of showers shall comply with Subsection 3.8.3.","Except within a suite of care occupancy or a suite of residential occupancy, where showers are provided in a building, at least one shower stall in each group of showers shall comply with Subsection 3.8.3.",1.0
12750,Combustible refuse in sufficient quantities to constitute a fire hazard shall be moved to a safe location. (See also Subsection 8.2.5. of Division B of the NBC.),Combustible refuse in sufficient quantities to constitute a fire hazard shall be moved to a safe location. (See also Subsection 8.2.5. of Division B of the NBC.),1.0
6314,"A washroom need not conform to the requirements of Sentence 3.8.2.8.(1) provided it is located within a suite of residential occupancy or a suite of care occupancy, other barrier-free washrooms are provided on the same floor area within 45 m, or it is located in an individual suite that is used for a business and personal services occupancy, a mercantile occupancy or an industrial occupancy, less than 500 m2 in area, and completely separated from, and without access to, the remainder of the building. (See Note A-3.8.2.8.(1) to (4).)","A washroom need not conform to the requirements of Sentence 3.8.2.8.(1) provided it is located within a suite of residential occupancy or a suite of care occupancy, other barrier-free washrooms are provided on the same floor area within 45 m, or it is located in an individual suite that is used for a business and personal services occupancy, a mercantile occupancy or an industrial occupancy, less than 500 m2 in area, and completely separated from, and without access to, the remainder of the building. (See Note A-3.8.2.8.(1) to (4).)",1.0
