Full Index,National Full,National in BC,Similarity
2065,"Except as provided in Sentence 9.8.4.5.(2) and Article 9.8.4.6., where a flight of stairs consists of both tapered treads and rectangular treads, all the treads shall have a uniform run when measured at a point 300 mm from the centre line of the inside handrail.","Except as provided in Sentence 9.8.4.5.(2) and Article 9.8.4.6., where a flight of stairs consists of both tapered treads and rectangular treads, all the treads shall have a uniform run when measured at a point 300 mm from the centre line of the inside handrail.",1.0
9784,"Rooms, corridors, shafts and other spaces shall be separated where practicable by fire separations conforming to the NBC.","Rooms, corridors, shafts and other spaces shall be separated where practicable by fire separations conforming to the NBC.",1.0
3765,"Windows, doors and skylights shall be sealed to air barriers and vapour barriers.","Windows, doors and skylights shall be sealed to air barriers and vapour barriers.",1.0
1549,"Where a fuel-burning appliance is installed in a suite of residential occupancy, a CO alarm shall be installed inside each bedroom, or outside each bedroom, within 5 m of each bedroom door, measured following corridors and doorways.","Where a fuel-burning appliance is installed in a suite of residential occupancy, a CO alarm shall be installed inside each bedroom, or outside each bedroom, within 5 m of each bedroom door, measured following corridors and doorways.",1.0
10148,"This Part provides for the inspection, testing and maintenance of the fire emergency systems installed in high buildings as defined in Subsection 3.2.6. of Division B of the NBC.","This Part provides for the inspection, testing and maintenance of the fire emergency systems installed in high buildings as defined in Subsection 3.2.6. of Division B of the NBC.",1.0
5599,Doorways in a path of travel to at least one bathroom within a suite of residential occupancy shall have a clear width not less than 800 mm when the doors are open. (See Note A-3.8.3.6.(3).) (See Note A-3.8.3.6.(3).),Doorways in a path of travel to at least one bathroom within a suite of residential occupancy shall have a clear width not less than 800 mm when the doors are open. (See Note A-3.8.3.6.(3).),1.0
2461,"Buildings or parts thereof and facilities that are required to be barrier-free shall be designed in accordance with this Subsection, or the provisions of CSA B651-12 Accessible Design for the Built Environment listed in Table 3.8.3.1., in their entirety. (See Note A-3.8.3.1.(1).)","Buildings or parts thereof and facilities that are required to be barrier-free shall be designed in accordance with this Subsection, or the provisions of CSA B651-12 Accessible Design for the Built Environment listed in Table 3.8.3.1., in their entirety. (See Note A-3.8.3.1.(1).)",1.0
10533,"Tests to ensure operation in conformance with ASME/CSA ASME A17.1-2010/CSA B44-10 Safety Code for Elevators and Escalators shall be performed on in-car emergency service switches, manual key-operated recall switches located outside an elevator shaft, and automatic emergency recall systems.","Tests to ensure operation in conformance with ASME/CSA ASME A17.1-2010/CSA B44-10 Safety Code for Elevators and Escalators shall be performed on in-car emergency service switches, manual key-operated recall switches located outside an elevator shaft, and automatic emergency recall systems.",1.0
6396,"For the purpose of using Table 9.10.14.4.-A to determine the maximum aggregate area of unprotected openings in an irregularly shaped or skewed exterior wall, the location of the exposing building face shall be taken as a vertical plane located so that there are no unprotected openings between the vertical plane and the line to which the limiting distance is measured. (See Note A-3.2.3.1.(4).)","For the purpose of using Table 9.10.14.4.-A to determine the maximum aggregate area of unprotected openings in an irregularly shaped or skewed exterior wall, the location of the exposing building face shall be taken as a vertical plane located so that there are no unprotected openings between the vertical plane and the line to which the limiting distance is measured. (See Note A-3.2.3.1.(4).)",1.0
455,"Except as permitted by Sentence 3.3.1.13.(4), door release hardware shall comply with Clause 3.8.3.8.(1)(b) and the door shall be openable with not more than one releasing operation. (See also Sentence 3.8.3.6.(4).)","Except as permitted by Sentence 3.3.1.13.(4), door release hardware shall comply with Clause 3.8.3.8.(1)(b) and the door shall be openable with not more than one releasing operation. (See also Sentence 3.8.3.6.(4).)",1.0
2257,"Individual treads in winders that converge on a centre point shall turn through an angle of 30° with no deviation above or below 30°, or 45° with no deviation above or below 45°.","Individual treads in winders that converge on a centre point shall turn through an angle of 30° with no deviation above or below 30°, or 45° with no deviation above or below 45°.",1.0
3457,"Exterior wood doors shall conform to CSA CAN/CSA-O132.2 Series-90 Wood Flush Doors and shall have legibly indicated on them the name of the manufacturer, the standard according to which they were produced, and that they are of an exterior type.","Exterior wood doors shall conform to CSA CAN/CSA-O132.2 Series-90 Wood Flush Doors and shall have legibly indicated on them the name of the manufacturer, the standard according to which they were produced, and that they are of an exterior type.",1.0
10751,The location of storage rooms referred to in Sentence 4.2.4.2.(4) shall conform to Article 3.3.2.16. and Sentence 3.3.4.3.(4) of Division B of the NBC.,The location of storage rooms referred to in Sentence 4.2.4.2.(4) shall conform to Article 3.3.2.16. and Sentence 3.3.4.3.(4) of Division B of the NBC.,1.0
11119,"Required clearances between chimneys, flue pipes or appliances and combustible construction shall be maintained in conformance with the NBC.","Required clearances between chimneys, flue pipes or appliances and combustible construction shall be maintained in conformance with the NBC.",1.0
1357,"Every exit door, except doors serving a single dwelling unit or a house with a secondary suite, shall be designed and installed so that when the latch is released the door will open in the direction of exit travel under a force of not more than 90 N applied to the door release hardware. (See Sentence 3.8.3.6.(8) for door opening forces in a barrier-free path of travel.)","Every exit door, except doors serving a single dwelling unit or a house with a secondary suite, shall be designed and installed so that when the latch is released the door will open in the direction of exit travel under a force of not more than 90 N applied to the door release hardware. (See Sentence 3.8.3.6.(8) for door opening forces in a barrier-free path of travel.)",1.0
